Frame,Raw_Intensity,Processed_Intensity
0,4.16,0.0041
1,4.06,0.0041
2,4.08,0.0041
3,4.4,0.0042
4,4.2,0.004
5,4.25,0.0051
6,3.81,0.0054
7,5.44,0.0052
8,4.78,0.0053
9,3.9,0.0056
10,4.4,0.0043
11,4.16,0.0028
12,3.83,0.0024
13,3.02,0.0028
14,3.43,0.0039
15,4.87,0.0041
16,5.5,0.0059
17,4.05,0.0048
18,5.25,0.0041
19,2.04,0.0027
20,3.99,0.0026
21,3.79,0.0013
22,4.02,0.0022
23,3.56,0.0017
24,3.23,0.0022
25,3.31,0.003
26,4.36,0.003
27,5.08,0.0038
28,3.5,0.0042
29,4.2,0.0036
30,3.91,0.0024
31,3.59,0.0038
32,3.6,0.0034
33,5.17,0.0044
34,3.75,0.0051
35,5.13,0.007
36,4.52,0.0055
37,5.9,0.0069
38,3.28,0.0056
39,5.5,0.0061
40,3.58,0.0048
41,5.07,0.0056
42,4.35,0.0043
43,4.25,0.0049
44,3.86,0.0037
45,4.35,0.0037
46,3.62,0.0034
47,4.3,0.0035
48,3.89,0.0034
49,3.98,0.003
50,4.2,0.0038
51,3.15,0.0035
52,5.31,0.0021
53,3.48,0.0021
54,2.23,0.0026
55,4.25,0.0025
56,3.82,0.0033
57,5.14,0.0057
58,4.52,0.0055
59,5.1,0.0064
60,4.0,0.0057
61,5.0,0.0047
62,4.24,0.0037
63,3.33,0.0044
64,3.87,0.0032
65,4.85,0.0027
66,3.46,0.0027
67,3.68,0.0026
68,3.28,0.0017
69,3.72,0.0019
70,3.74,0.002
71,3.7,0.0018
72,3.81,0.0017
73,3.13,0.0017
74,3.56,0.0022
75,3.67,0.0025
76,4.32,0.0046
77,4.19,0.0044
78,5.74,0.0054
79,3.35,0.0049
80,4.83,0.0047
81,3.72,0.0033
82,3.92,0.004
83,4.1,0.0038
84,4.2,0.0046
85,4.6,0.0056
86,4.7,0.0054
87,5.18,0.0057
88,3.86,0.005
89,4.5,0.0043
90,3.7,0.0033
91,3.94,0.0038
92,3.92,0.003
93,4.4,0.0045
94,3.56,0.0057
95,5.5,0.0054
96,5.5,0.005
97,3.5,0.0044
98,3.94,0.0041
99,2.8,0.0022
100,5.2,0.0027
101,3.14,0.0026
102,4.1,0.0033
103,3.86,0.0023
104,3.63,0.0032
105,3.9,0.0029
106,4.23,0.0032
107,3.84,0.0035
108,4.2,0.0045
109,3.93,0.0039
110,5.14,0.0032
111,3.48,0.0026
112,3.01,0.0024
113,3.5,0.001
114,3.63,0.0023
115,3.5,0.0039
116,5.01,0.004
117,4.96,0.0045
118,3.66,0.0051
119,4.24,0.004
120,4.2,0.0026
121,3.68,0.0025
122,3.28,0.0012
123,3.54,0.0013
124,2.66,0.0011
125,4.24,0.0029
126,3.5,0.0029
127,5.45,0.004
128,3.55,0.003
129,4.06,0.0048
130,3.02,0.0037
131,5.67,0.0043
132,4.1,0.0043
133,4.3,0.0045
134,4.05,0.0043
135,3.3,0.0052
136,5.42,0.0061
137,5.12,0.0068
138,5.5,0.0072
139,4.8,0.0057
140,3.81,0.0044
141,3.6,0.0024
142,3.5,0.0012
143,3.13,0.0024
144,3.29,0.003
145,5.27,0.0037
146,4.4,0.0048
147,4.28,0.0054
148,4.5,0.0044
149,4.0,0.0045
150,4.1,0.0036
151,4.48,0.003
152,3.24,0.003
153,3.72,0.0029
154,3.98,0.0034
155,4.04,0.0035
156,4.98,0.0041
157,3.46,0.0037
158,4.4,0.0037
159,3.5,0.0036
160,4.1,0.0041
161,4.84,0.0038
162,4.1,0.0042
163,3.96,0.0044
164,3.98,0.0037
165,4.32,0.004
166,4.0,0.0031
167,4.53,0.0016
168,2.85,0.0018
169,2.06,0.0022
170,4.55,0.0021
171,4.54,0.003
172,4.4,0.004
173,4.03,0.0035
174,3.23,0.003
175,4.0,0.0032
176,3.89,0.0034
177,4.6,0.0037
178,4.3,0.0039
179,3.55,0.0047
180,4.32,0.0043
181,4.79,0.0054
182,4.22,0.0058
183,5.57,0.0053
184,4.08,0.0053
185,3.67,0.0052
186,4.8,0.0048
187,4.06,0.0045
188,5.16,0.0052
189,3.72,0.0041
190,4.56,0.0053
191,3.4,0.0045
192,5.5,0.0044
193,4.25,0.0037
194,3.55,0.004
195,3.65,0.0032
196,3.82,0.0032
197,4.5,0.0042
198,4.3,0.005
