Frame,Raw_Intensity,Processed_Intensity
0,11.11,0.0099
1,11.22,0.0099
2,11.43,0.0099
3,13.71,0.0099
4,11.12,0.0122
5,11.15,0.0128
6,13.69,0.0114
7,12.14,0.0124
8,12.12,0.0138
9,12.19,0.0127
10,12.72,0.0153
11,12.42,0.014
12,15.0,0.014
13,10.72,0.0138
14,12.22,0.0127
15,12.49,0.0089
16,11.25,0.0094
17,10.85,0.0074
18,11.34,0.0061
19,10.01,0.0057
20,11.1,0.0059
21,10.85,0.0055
22,11.08,0.0075
23,10.9,0.0109
24,12.16,0.0145
25,14.7,0.0189
26,14.72,0.0229
27,15.79,0.0256
28,15.25,0.0217
29,15.04,0.0194
30,10.55,0.0148
31,12.22,0.0108
32,10.88,0.0068
33,10.88,0.007
34,10.81,0.0074
35,10.69,0.0111
36,12.7,0.0109
37,14.83,0.0145
38,10.65,0.0169
39,14.68,0.0211
40,13.28,0.0223
41,17.22,0.0264
42,16.16,0.0246
43,15.03,0.0226
44,12.73,0.0191
45,11.18,0.0165
46,13.47,0.0151
47,13.35,0.0137
48,13.48,0.0169
49,11.25,0.0208
50,14.65,0.0225
51,17.62,0.0239
52,15.18,0.0272
53,15.0,0.03
54,14.76,0.0261
55,17.7,0.0261
56,13.38,0.0224
57,15.2,0.0209
58,10.98,0.0155
59,13.15,0.0153
60,11.98,0.011
61,13.12,0.0134
62,10.6,0.0123
63,13.6,0.0157
64,11.88,0.0174
65,15.67,0.0217
66,14.96,0.0215
67,15.16,0.0208
68,13.41,0.0178
69,11.19,0.0168
70,12.44,0.0143
71,13.83,0.0119
72,12.46,0.0118
73,10.92,0.0103
74,11.02,0.0086
75,10.86,0.0072
76,12.05,0.0072
77,10.9,0.0062
78,10.95,0.0065
79,9.93,0.0048
80,11.13,0.0051
81,10.28,0.0053
82,11.2,0.0062
83,11.12,0.0061
84,10.89,0.009
85,11.1,0.0097
86,13.36,0.0106
87,11.94,0.0122
88,12.1,0.0107
89,12.63,0.0082
90,9.47,0.0075
91,10.71,0.0076
92,11.19,0.0053
93,12.22,0.0061
94,10.1,0.0096
95,10.35,0.0112
96,14.49,0.0138
97,12.9,0.017
98,14.96,0.024
99,13.59,0.0243
100,17.81,0.0234
101,14.85,0.0188
102,11.91,0.0166
103,10.05,0.0095
104,11.21,0.0071
105,10.23,0.0065
106,12.18,0.0078
107,11.32,0.0084
108,11.42,0.0115
109,11.9,0.0137
110,13.5,0.0173
111,14.59,0.0192
112,15.22,0.0215
113,13.39,0.0235
114,14.42,0.0216
115,15.64,0.0197
116,12.54,0.0177
117,13.18,0.0143
118,11.2,0.0092
119,10.81,0.0088
120,10.16,0.0072
121,12.13,0.0118
122,11.42,0.0141
123,16.18,0.0199
124,13.23,0.0217
125,16.39,0.0281
126,14.14,0.0271
127,18.2,0.0262
128,15.18,0.0216
129,12.28,0.021
130,11.35,0.0144
131,13.54,0.0104
132,11.13,0.0084
133,10.87,0.0065
134,10.1,0.0056
135,9.32,0.0074
136,12.55,0.0094
137,13.16,0.0128
138,12.97,0.0172
139,13.72,0.0194
140,14.06,0.0163
141,14.9,0.0142
142,9.91,0.0117
143,10.63,0.01
144,11.02,0.006
145,12.3,0.0081
146,10.58,0.0086
147,12.22,0.0098
148,11.16,0.0081
149,12.3,0.0102
150,10.44,0.0089
151,12.9,0.0085
152,10.78,0.0071
153,10.69,0.0101
154,10.84,0.0093
155,13.62,0.0108
156,12.05,0.0107
157,12.35,0.011
158,10.64,0.0098
159,11.12,0.0101
160,12.4,0.0098
161,12.32,0.0102
162,12.05,0.0103
163,11.1,0.0092
164,11.24,0.0083
165,11.18,0.0075
166,11.37,0.0077
167,11.19,0.007
168,11.3,0.0085
169,10.48,0.0102
170,12.75,0.0128
171,13.28,0.0139
172,13.95,0.0169
173,12.48,0.0171
174,13.68,0.0145
175,12.94,0.0093
176,10.56,0.0079
177,8.3,0.0034
178,11.0,0.0016
179,8.9,0.0
180,11.0,0.0028
181,8.8,0.0039
182,11.3,0.0102
183,12.22,0.0139
184,15.67,0.0216
185,14.9,0.025
186,17.07,0.0284
187,15.04,0.0226
188,15.89,0.0193
189,9.35,0.0138
190,11.34,0.0105
191,11.26,0.0059
192,11.4,0.0066
193,11.02,0.0062
194,10.12,0.0076
195,10.87,0.0075
196,12.77,0.011
197,11.28,0.0144
198,14.76,0.0192
199,13.76,0.022
200,16.06,0.0214
201,15.76,0.0175
202,10.63,0.0141
203,10.62,0.0091
204,10.06,0.0049
205,10.77,0.0052
206,11.22,0.0045
207,10.96,0.0092
208,9.83,0.0115
209,15.12,0.017
210,13.27,0.0193
211,17.1,0.0258
212,13.41,0.0241
213,16.8,0.0278
214,13.34,0.0243
215,17.2,0.1505
216,13.33,0.2598
217,149.04,0.3763
218,134.19,0.5052
219,138.53,0.6131
220,155.69,0.4843
221,129.3,0.4821
222,10.6,0.4893
223,131.89,0.3545
224,146.26,0.2431
225,10.8,0.244
226,9.7,0.24
227,11.5,0.1184
228,127.58,0.1221
229,15.6,0.2496
230,14.81,0.3859
231,146.73,0.2838
232,157.94,0.2839
233,17.84,0.2809
234,15.69,0.1527
235,11.65,0.1918
236,9.0,0.3189
237,199.94,0.3972
238,154.36,0.3959
239,99.84,0.567
240,10.24,0.5051
241,192.87,0.3719
242,133.42,0.291
243,11.22,0.2937
244,12.93,0.1266
245,13.18,0.0128
246,13.26,0.0142
247,11.18,0.1265
248,12.69,0.2515
249,133.64,0.3789
250,147.51,0.3793
251,150.1,0.3784
252,11.56,0.2633
253,11.8,0.1397
254,10.0,0.0159
255,14.69,0.0179
256,16.99,0.1361
257,13.75,0.2507
258,138.79,0.2561
259,133.16,0.259
260,20.52,0.3741
261,20.06,0.3723
