Frame,Raw_Intensity,Processed_Intensity
0,2.25,0.0033
1,2.48,0.0033
2,2.05,0.0033
3,1.65,0.0031
4,1.55,0.0024
5,1.95,0.0026
6,1.73,0.003
7,2.23,0.0029
8,2.13,0.0036
9,1.4,0.004
10,2.83,0.0035
11,2.22,0.0036
12,1.64,0.0039
13,2.25,0.0026
14,1.76,0.0021
15,1.3,0.0028
16,1.6,0.0021
17,2.5,0.0023
18,1.3,0.0028
19,2.0,0.0027
20,2.0,0.0019
21,1.5,0.0019
22,1.5,0.0014
23,1.3,0.0008
24,1.4,0.0007
25,1.16,0.0008
26,1.38,0.0012
27,1.7,0.002
28,1.73,0.0023
29,2.42,0.0021
30,1.56,0.0026
31,1.1,0.0023
32,2.27,0.0011
33,1.36,0.0011
34,1.05,0.0013
35,1.45,0.0008
36,1.35,0.0007
37,1.74,0.0012
38,1.23,0.0023
39,1.62,0.0022
40,2.78,0.0029
41,1.25,0.0038
42,2.63,0.0045
43,2.33,0.0037
44,2.44,0.0039
45,1.8,0.0032
46,1.55,0.0027
47,1.75,0.0023
48,1.74,0.002
49,1.89,0.0023
50,1.41,0.002
51,1.98,0.0018
52,1.41,0.0015
53,1.4,0.0016
54,1.54,0.0013
55,1.59,0.0018
56,1.55,0.0029
57,2.04,0.0039
58,2.75,0.005
59,2.8,0.0057
60,2.9,0.0054
61,2.45,0.0044
62,1.6,0.0037
63,1.6,0.0025
64,1.97,0.0017
65,1.42,0.0021
66,1.48,0.0029
67,1.98,0.0029
68,2.61,0.0029
69,1.94,0.0028
70,1.42,0.0028
71,1.4,0.0019
72,2.03,0.0015
73,1.49,0.0017
74,1.39,0.0021
75,1.72,0.0016
76,1.85,0.0016
77,1.44,0.0016
78,1.44,0.0018
79,1.44,0.0019
80,1.94,0.0017
81,1.98,0.0019
82,1.24,0.0021
83,1.68,0.0024
84,1.7,0.0021
85,2.24,0.003
86,1.68,0.003
87,2.35,0.0035
88,1.7,0.0029
89,2.3,0.004
90,1.5,0.0036
91,3.0,0.0036
92,1.8,0.0034
93,1.8,0.0036
94,2.05,0.0032
95,1.68,0.004
96,2.54,0.004
97,2.73,0.0038
98,1.83,0.0046
99,1.84,0.0048
100,2.65,0.0039
101,2.8,0.0038
102,1.6,0.0043
103,1.7,0.0035
104,2.51,0.0023
105,1.6,0.0024
106,1.38,0.0027
107,1.71,0.0028
108,2.1,0.0026
109,2.61,0.0031
110,1.27,0.0028
111,1.99,0.0029
112,1.33,0.0019
113,2.25,0.002
114,1.4,0.0025
115,1.42,0.0033
116,2.6,0.0029
117,2.32,0.0031
118,1.7,0.0029
119,1.7,0.0019
120,1.19,0.0011
121,1.35,0.0009
122,1.29,0.0007
123,1.48,0.0012
124,1.45,0.0018
125,1.85,0.0023
126,2.08,0.0023
127,1.9,0.0024
128,1.48,0.0033
129,1.55,0.0026
130,2.95,0.0034
131,1.18,0.0041
132,3.0,0.0045
133,2.25,0.003
134,2.04,0.0043
135,1.19,0.003
136,2.71,0.003
137,1.44,0.0027
138,2.18,0.0032
139,1.72,0.0024
140,1.76,0.0022
141,1.8,0.0023
142,1.2,0.0017
143,2.25,0.0019
144,1.0,0.0019
145,1.95,0.0027
146,1.8,0.0025
147,2.25,0.0031
148,2.02,0.0028
149,1.7,0.003
150,1.58,0.0023
151,2.0,0.0017
152,1.4,0.0013
153,1.36,0.0013
154,1.2,0.001
155,1.63,0.0011
156,1.6,0.0008
157,1.5,0.0013
158,0.97,0.002
159,1.8,0.0019
160,2.52,0.0021
161,1.52,0.0024
162,1.64,0.0022
163,1.45,0.0015
164,1.52,0.0022
165,1.62,0.0021
166,2.39,0.0029
167,1.5,0.0034
168,2.5,0.0039
169,2.1,0.0041
170,2.25,0.0042
171,2.66,0.0037
172,1.6,0.0031
173,1.86,0.0032
174,1.39,0.0026
175,2.31,0.0026
176,1.9,0.0029
177,1.7,0.0034
178,2.2,0.0026
179,1.98,0.0024
180,1.35,0.0027
181,1.68,0.0023
182,2.01,0.0022
183,1.7,0.0022
184,1.9,0.0022
185,1.4,0.0027
186,1.62,0.0025
187,2.62,0.0023
188,1.48,0.0036
189,1.69,0.0039
190,2.95,0.0034
191,1.92,0.0039
192,2.0,0.0042
193,2.2,0.0034
194,2.04,0.0034
195,2.0,0.0029
196,1.84,0.0025
197,1.44,0.0024
198,1.71,0.0021
199,1.92,0.0021
200,1.63,0.0022
201,1.85,0.0021
202,1.57,0.0018
203,1.51,0.0018
204,1.55,0.0016
205,1.65,0.0015
206,1.61,0.0016
207,1.5,0.0017
208,1.64,0.0024
209,1.65,0.0024
210,2.5,0.0026
211,1.59,0.0026
212,1.76,0.0027
213,1.6,0.0021
214,1.8,0.0022
215,1.8,0.0022
216,1.7,0.0018
217,1.71,0.0022
218,1.18,0.0018
219,2.3,0.0018
220,1.31,0.0017
221,1.67,0.0024
222,1.6,0.0019
223,1.96,0.0018
224,1.72,0.0014
225,1.19,0.0012
226,1.16,0.0016
227,1.42,0.0016
228,2.44,0.0018
229,1.64,0.002
230,1.44,0.002
231,1.44,0.0011
232,1.44,0.0008
233,1.37,0.0009
234,1.24,0.0014
235,1.6,0.0013
236,2.0,0.0015
237,1.34,0.0026
238,1.6,0.0028
239,2.6,0.0024
240,1.78,0.0024
241,1.6,0.0025
242,1.34,0.0024
243,1.69,0.0026
244,2.46,0.0026
245,2.0,0.0029
246,1.6,0.0034
247,1.8,0.0024
248,2.28,0.0028
249,1.18,0.0027
250,2.5,0.0031
251,1.44,0.0026
252,2.31,0.0026
253,1.7,0.0016
254,1.17,0.0017
255,1.26,0.0016
256,1.6,0.0017
257,2.15,0.0019
258,1.88,0.0026
259,1.36,0.0025
260,2.18,0.0019
261,1.4,0.0022
262,1.4,0.0027
263,2.35,0.0024
264,1.97,0.0029
265,1.8,0.0036
266,2.0,0.0031
267,2.23,0.0029
268,1.78,0.0025
269,1.64,0.0021
270,1.4,0.0015
271,1.5,0.0011
272,1.4,0.0014
273,1.3,0.0013
274,2.1,0.0018
275,1.29,0.0024
276,2.0,0.0034
277,2.21,0.0031
278,2.46,0.0032
279,1.8,0.003
280,1.43,0.0024
281,1.77,0.0017
282,1.41,0.0021
283,1.65,0.0021
284,2.25,0.0018
285,1.4,0.002
286,1.4,0.0023
287,1.69,0.0018
288,2.06,0.0022
289,1.61,0.0031
290,1.9,0.0031
291,2.47,0.0031
292,1.7,0.0026
293,2.0,0.002
294,1.1,0.0011
295,1.07,0.0009
296,1.42,0.0009
297,1.4,0.001
298,1.98,0.0011
299,1.24,0.0011
300,1.26,0.0011
301,1.45,0.0004
302,1.31,0.0005
303,1.22,0.0008
304,1.35,0.0013
305,1.64,0.002
306,2.04,0.0024
307,2.1,0.0027
308,1.7,0.003
309,1.75,0.0026
310,2.07,0.0021
311,1.46,0.0024
312,1.48,0.0028
313,2.1,0.0025
314,2.2,0.0028
315,1.72,0.0027
316,1.85,0.0027
317,1.33,0.0022
318,2.11,0.0019
319,1.6,0.0014
320,1.35,0.0015
321,1.31,0.0016
322,1.36,0.0013
323,2.26,0.0011
324,1.2,0.001
325,1.2,0.0009
326,1.18,0.0004
327,1.22,0.0004
328,1.64,0.0005
329,1.16,0.0011
330,1.32,0.0019
331,2.0,0.0017
332,2.15,0.0019
333,1.45,0.0025
334,1.35,0.0026
335,2.05,0.0025
336,2.1,0.0028
337,2.1,0.0027
338,1.8,0.0027
339,1.2,0.002
340,2.04,0.0014
341,1.26,0.0009
342,1.3,0.0011
343,1.3,0.0017
344,1.33,0.0022
345,2.78,0.0026
346,1.96,0.0027
347,1.7,0.0029
348,1.5,0.0018
349,1.5,0.0015
350,1.5,0.0022
351,1.59,0.0033
352,2.5,0.0037
353,2.91,0.0047
354,1.94,0.005
355,2.76,0.0043
356,1.9,0.0028
357,1.75,0.0025
358,1.05,0.0019
359,1.48,0.0016
360,2.08,0.0016
361,1.56,0.0023
362,1.76,0.0024
363,1.9,0.0028
364,1.6,0.0025
365,2.52,0.0023
366,1.27,0.002
367,1.4,0.0022
368,1.6,0.0017
369,1.8,0.0023
370,1.9,0.0024
371,2.1,0.0023
372,1.49,0.002
373,1.4,0.0017
374,1.48,0.0012
375,1.54,0.0012
376,1.54,0.0014
377,1.47,0.0017
378,1.58,0.0015
379,1.88,0.0019
380,1.27,0.0022
381,2.12,0.0023
382,1.76,0.0024
383,1.7,0.0028
384,2.05,0.0023
385,1.7,0.0018
386,1.6,0.0015
387,1.05,0.0012
388,1.4,0.0009
389,1.66,0.001
390,1.36,0.0014
391,1.7,0.0015
392,1.5,0.0019
393,1.6,0.0024
394,2.12,0.0023
395,1.94,0.0024
396,1.62,0.0022
397,1.6,0.0019
398,1.4,0.0028
399,1.7,0.0027
400,3.05,0.0028
401,1.5,0.003
402,1.77,0.0031
403,1.58,0.0019
404,1.81,0.002
405,1.56,0.002
406,1.72,0.0017
407,1.73,0.0012
408,1.25,0.0013
409,1.2,0.0017
410,1.6,0.0023
411,2.3,0.003
412,2.43,0.0045
413,2.1,0.0045
414,3.05,0.004
415,1.6,0.003
416,1.6,0.0033
417,1.24,0.0017
418,2.49,0.0026
419,1.15,0.0028
420,2.6,0.0033
421,1.9,0.0026
422,1.8,0.0036
423,1.7,0.0025
424,2.33,0.0024
425,1.25,0.0018
426,1.78,0.0015
427,1.03,0.001
428,1.42,0.0011
429,1.72,0.0012
430,1.35,0.0022
431,1.89,0.0026
432,2.21,0.0026
433,1.97,0.0033
434,1.75,0.0031
435,2.15,0.0026
436,1.65,0.0022
437,1.65,0.0021
438,1.41,0.0016
439,1.67,0.002
440,1.55,0.0019
441,2.1,0.002
442,1.5,0.0017
443,1.6,0.002
444,1.28,0.0013
445,1.86,0.0013
446,1.26,0.0018
447,1.55,0.0024
448,2.25,0.0024
449,1.9,0.0027
450,1.9,0.0032
451,1.6,0.0029
452,2.26,0.0024
453,1.8,0.0018
454,1.27,0.0018
455,1.27,0.0009
456,1.53,0.0006
457,1.15,0.0009
458,1.48,0.001
459,1.55,0.0009
460,1.4,0.0016
461,1.4,0.0023
462,2.1,0.0021
463,2.33,0.0021
464,1.3,0.0027
465,1.4,0.002
466,2.06,0.0021
467,1.36,0.0031
468,2.43,0.0039
469,2.43,0.0034
